agency_id,route_id,route_short_name,route_type,route_long_name,route_url,route_color,route_text_color,route_sort_order
Operadora Exemplo,200,200,3,Bolhão - Cast.queijo,http://www.exemplo.pt/pt/viajar/linhas/?linha=200,187EC2,FFFFFF,1
Operadora Exemplo,201,201,3,Aliados-viso,http://www.exemplo.pt/pt/viajar/linhas/?linha=201,187EC2,FFFFFF,2
Operadora Exemplo,202,202,3,Aliados-passeio Alegre (via Av. Bessa),http://www.exemplo.pt/pt/viajar/linhas/?linha=202,187EC2,FFFFFF,3
Operadora Exemplo,203,203,3,Estádio Do Dragão - Casa Da Música,http://www.exemplo.pt/pt/viajar/linhas/?linha=203,187EC2,FFFFFF,4
Operadora Exemplo,204,204,3,Hospital De S.joão - Foz,http://www.exemplo.pt/pt/viajar/linhas/?linha=204,187EC2,FFFFFF,5
Operadora Exemplo,205,205,3,Campanhã-castelo Do Queijo,http://www.exemplo.pt/pt/viajar/linhas/?linha=205,187EC2,FFFFFF,6
Operadora Exemplo,206,206,3,Campanhã-viso,http://www.exemplo.pt/pt/viajar/linhas/?linha=206,187EC2,FFFFFF,7
Operadora Exemplo,207,207,3,Campanhã-mercado Da Foz,http://www.exemplo.pt/pt/viajar/linhas/?linha=207,187EC2,FFFFFF,8
Operadora Exemplo,208,208,3,Aliados-aldoar,http://www.exemplo.pt/pt/viajar/linhas/?linha=208,187EC2,FFFFFF,9
Operadora Exemplo,209,209,3,Pasteleira-prelada,http://www.exemplo.pt/pt/viajar/linhas/?linha=209,187EC2,FFFFFF,10
Operadora Exemplo,300,300,3,Circular Hospital De S.joão-aliados,http://www.exemplo.pt/pt/viajar/linhas/?linha=300,187EC2,FFFFFF,11
Operadora Exemplo,301,301,3,Circular Hospital S.joão-sá Da Bandeira,http://www.exemplo.pt/pt/viajar/linhas/?linha=301,187EC2,FFFFFF,12
Operadora Exemplo,302,302,3,Circular Aliados-damião De Gois,http://www.exemplo.pt/pt/viajar/linhas/?linha=302,187EC2,FFFFFF,13
Operadora Exemplo,303,303,3,Circular Praça Da Liberdade-constituição,http://www.exemplo.pt/pt/viajar/linhas/?linha=303,187EC2,FFFFFF,14
Operadora Exemplo,304,304,3,Aliados-sta. Luzia,http://www.exemplo.pt/pt/viajar/linhas/?linha=304,187EC2,FFFFFF,15
Operadora Exemplo,305,305,3,Cordoaria-hospital De S.joão,http://www.exemplo.pt/pt/viajar/linhas/?linha=305,187EC2,FFFFFF,16
Operadora Exemplo,400,400,3,Aliados-parque Nascente,http://www.exemplo.pt/pt/viajar/linhas/?linha=400,187EC2,FFFFFF,17
Operadora Exemplo,401,401,3,Bolhão-s.roque,http://www.exemplo.pt/pt/viajar/linhas/?linha=401,187EC2,FFFFFF,18
Operadora Exemplo,402,402,3,Boavista - S.roque,http://www.exemplo.pt/pt/viajar/linhas/?linha=402,187EC2,FFFFFF,19
Operadora Exemplo,403,403,3,Boavista (casa Música)-campanhã,http://www.exemplo.pt/pt/viajar/linhas/?linha=403,187EC2,FFFFFF,20
Operadora Exemplo,404,404,3,Campanhã (tic) - Hosp. S. João,http://www.exemplo.pt/pt/viajar/linhas/?linha=404,187EC2,FFFFFF,21
Operadora Exemplo,500,500,3,Praça Liberdade-matosinhos (mercado),http://www.exemplo.pt/pt/viajar/linhas/?linha=500,FCD116,000000,22
Operadora Exemplo,501,501,3,Aliados-matosinhos (praia),http://www.exemplo.pt/pt/viajar/linhas/?linha=501,FCD116,000000,23
Operadora Exemplo,502,502,3,Bolhão-matosinhos (mercado),http://www.exemplo.pt/pt/viajar/linhas/?linha=502,FCD116,000000,24
Operadora Exemplo,503,503,3,Boavista (bom Sucesso)- Gatões,http://www.exemplo.pt/pt/viajar/linhas/?linha=503,FCD116,000000,25
Operadora Exemplo,504,504,3,Boavista - Norteshopping,http://www.exemplo.pt/pt/viajar/linhas/?linha=504,FCD116,000000,26
Operadora Exemplo,505,505,3,Hospital S. João-matosinhos (mercado),http://www.exemplo.pt/pt/viajar/linhas/?linha=505,FCD116,000000,27
Operadora Exemplo,506,506,3,Hospital S.joão-matosinhos (mercado),http://www.exemplo.pt/pt/viajar/linhas/?linha=506,FCD116,000000,28
Operadora Exemplo,507,507,3,Cordoaria-mar Shopping,http://www.exemplo.pt/pt/viajar/linhas/?linha=507,FCD116,000000,29
Operadora Exemplo,508,508,3,Boavista - Cabo Do Mundo (via Mar Shop.),http://www.exemplo.pt/pt/viajar/linhas/?linha=508,FCD116,000000,30
Operadora Exemplo,600,600,3,Aliados-maia,http://www.exemplo.pt/pt/viajar/linhas/?linha=600,00AC00,FFFFFF,31
Operadora Exemplo,601,601,3,Cordoaria-aeroporto (via Mar Shopping),http://www.exemplo.pt/pt/viajar/linhas/?linha=601,00AC00,FFFFFF,32
